left_arm_torques.tau_1,left_arm_torques.tau_2,left_arm_torques.tau_3,left_arm_torques.tau_4,left_arm_torques.tau_5,left_arm_torques.tau_6,left_arm_torques.tau_7,right_arm_torques.tau_1,right_arm_torques.tau_2,right_arm_torques.tau_3,right_arm_torques.tau_4,right_arm_torques.tau_5,right_arm_torques.tau_6,right_arm_torques.tau_7,waist_torque.tau_w,time.t
-5.53711,2.54883,0.671165,-3.86719,-0.5,-0.25,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.375,-0.25,0.5625,-0.351562,0.34
-5.44922,2.63672,0.727095,-3.86719,-0.5,-0.25,-0.25,-4.74609,-2.37305,-0.615234,-3.16406,0.375,-0.25,0.5625,-0.292969,0.35
-5.53711,2.54883,0.671165,-3.86719,-0.5,-0.25,-0.1875,-4.74609,-2.37305,-0.615234,-3.16406,0.4375,-0.25,0.5625,0,0.36
-5.53711,2.54883,0.671165,-3.95508,-0.5,-0.3125,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.375,-0.3125,0.5625,-0.0585938,0.37
-5.44922,2.54883,0.671165,-3.95508,-0.5,-0.25,-0.1875,-4.92188,-2.28516,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.292969,0.38
-5.53711,2.54883,0.671165,-3.95508,-0.5625,-0.25,-0.25,-4.74609,-2.28516,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.46875,0.39
-5.53711,2.54883,0.671165,-3.95508,-0.5,-0.25,-0.1875,-4.74609,-2.28516,-0.559304,-3.16406,0.4375,-0.25,0.5625,0.175781,0.4
-5.53711,2.54883,0.671165,-3.86719,-0.5625,-0.25,-0.1875,-4.74609,-2.28516,-0.503374,-3.16406,0.4375,-0.25,0.5625,0.117188,0.41
-5.44922,2.46094,0.671165,-3.86719,-0.5,-0.25,-0.3125,-4.74609,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,0,0.42
-5.53711,2.46094,0.671165,-3.86719,-0.5,-0.25,-0.25,-4.92188,-2.37305,-0.559304,-3.16406,0.3125,-0.25,0.5625,-0.292969,0.43
-5.53711,2.46094,0.671165,-3.95508,-0.5,-0.25,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.46875,0.44
-5.44922,2.46094,0.727095,-3.95508,-0.5,-0.3125,-0.25,-4.74609,-2.28516,-0.615234,-3.16406,0.4375,-0.25,0.5625,-0.292969,0.45
-5.53711,2.46094,0.671165,-3.95508,-0.5,-0.3125,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.625,-0.175781,0.46
-5.53711,2.54883,0.671165,-3.95508,-0.5,-0.25,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.375,-0.25,0.625,-0.292969,0.47
-5.53711,2.54883,0.671165,-3.95508,-0.5,-0.25,-0.1875,-4.74609,-2.28516,-0.559304,-3.16406,0.4375,-0.25,0.5625,0.117188,0.48
-5.53711,2.54883,0.671165,-3.86719,-0.5,-0.25,-0.1875,-4.74609,-2.37305,-0.503374,-3.16406,0.375,-0.25,0.625,-0.351562,0.49
-5.53711,2.54883,0.671165,-3.95508,-0.5,-0.25,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.292969,0.5
-5.53711,2.54883,0.671165,-3.86719,-0.5,-0.1875,-0.1875,-4.74609,-2.37305,-0.503374,-3.16406,0.3125,-0.25,0.5625,-0.46875,0.51
-5.53711,2.54883,0.671165,-3.95508,-0.5,-0.25,-0.25,-4.92188,-2.37305,-0.559304,-3.16406,0.3125,-0.25,0.5625,-0.292969,0.52
-5.53711,2.54883,0.671165,-3.86719,-0.5,-0.25,-0.25,-4.92188,-2.37305,-0.615234,-3.16406,0.4375,-0.25,0.5625,-0.46875,0.53
-5.53711,2.54883,0.671165,-3.95508,-0.5,-0.3125,-0.1875,-4.74609,-2.37305,-0.615234,-3.16406,0.375,-0.25,0.625,-0.351562,0.54
-5.53711,2.46094,0.671165,-3.86719,-0.5,-0.25,-0.1875,-4.74609,-2.37305,-0.615234,-3.16406,0.4375,-0.25,0.5625,-0.292969,0.55
-5.53711,2.46094,0.671165,-3.95508,-0.5,-0.25,-0.25,-4.74609,-2.28516,-0.559304,-3.16406,0.4375,-0.25,0.625,-0.175781,0.56
-5.53711,2.46094,0.671165,-3.86719,-0.5625,-0.3125,-0.25,-4.74609,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.175781,0.57
-5.53711,2.46094,0.671165,-3.95508,-0.5,-0.3125,-0.1875,-4.92188,-2.28516,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.175781,0.58
-5.53711,2.54883,0.727095,-3.95508,-0.5,-0.25,-0.1875,-4.74609,-2.37305,-0.615234,-3.16406,0.375,-0.25,0.5625,-0.175781,0.59
-5.53711,2.54883,0.671165,-3.86719,-0.5625,-0.3125,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.3125,-0.25,0.5625,-0.234375,0.6
-5.44922,2.54883,0.727095,-3.95508,-0.5,-0.25,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.375,-0.25,0.5625,-0.351562,0.61
-5.53711,2.54883,0.727095,-3.86719,-0.5,-0.3125,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.375,-0.25,0.5625,-0.234375,0.62
-5.53711,2.54883,0.671165,-3.86719,-0.5625,-0.25,-0.25,-4.74609,-2.37305,-0.559304,-3.16406,0.3125,-0.25,0.5625,-0.410156,0.63
-5.44922,2.54883,0.671165,-3.95508,-0.5625,-0.25,-0.1875,-4.74609,-2.37305,-0.615234,-3.16406,0.375,-0.25,0.5625,-0.234375,0.64
-5.53711,2.46094,0.671165,-3.95508,-0.5625,-0.25,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.375,-0.3125,0.5625,-0.0585938,0.65
-5.53711,2.46094,0.671165,-3.95508,-0.5,-0.25,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.375,-0.25,0.625,-0.0585938,0.66
-5.53711,2.46094,0.671165,-3.95508,-0.5,-0.25,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.46875,0.67
-5.44922,2.46094,0.671165,-3.86719,-0.5,-0.25,-0.25,-4.74609,-2.37305,-0.559304,-3.16406,0.3125,-0.25,0.5625,-0.175781,0.68
-5.53711,2.54883,0.671165,-3.86719,-0.5,-0.25,-0.25,-4.92188,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.234375,0.69
-5.53711,2.54883,0.671165,-3.95508,-0.5,-0.25,-0.1875,-4.6582,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.351562,0.7
-5.53711,2.54883,0.671165,-3.86719,-0.5,-0.3125,-0.1875,-4.92188,-2.37305,-0.559304,-3.16406,0.375,-0.25,0.5625,-0.292969,0.71
-5.53711,2.54883,0.671165,-3.95508,-0.5,-0.25,-0.1875,-4.92188,-2.28516,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.234375,0.72
-5.53711,2.54883,0.671165,-3.86719,-0.5,-0.3125,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,0,0.73
-5.53711,2.54883,0.671165,-3.95508,-0.5,-0.3125,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.4375,-0.3125,0.5625,-0.175781,0.74
-5.53711,2.54883,0.671165,-3.86719,-0.5,-0.3125,-0.25,-4.92188,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.351562,0.75
-5.53711,2.46094,0.671165,-3.95508,-0.5,-0.25,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.375,-0.3125,0.5625,-0.175781,0.76
