left_hand_wrench.f_x,left_hand_wrench.f_y,left_hand_wrench.f_z,left_hand_wrench.tau_x,left_hand_wrench.tau_y,left_hand_wrench.tau_z,right_hand_wrench.f_x,right_hand_wrench.f_y,right_hand_wrench.f_z,right_hand_wrench.tau_x,right_hand_wrench.tau_y,right_hand_wrench.tau_z,time.t
4.4713,3.26094,19.0895,-0.328491,1.01418,-0.544304,4.7556,-3.91555,14.8789,0.581203,0.833807,0.751745,0.39
4.46478,3.25161,19.1204,-0.326099,1.01646,-0.543477,4.74467,-3.90441,14.8878,0.582024,0.834451,0.749769,0.4
4.48731,3.2576,19.0869,-0.328367,1.0173,-0.542177,4.73366,-3.89075,14.8951,0.581818,0.835387,0.750851,0.41
4.48293,3.25968,19.0651,-0.334836,1.01811,-0.546667,4.72388,-3.89864,14.9077,0.582774,0.836315,0.751555,0.42
4.50453,3.25317,19.0308,-0.3366,1.01879,-0.54732,4.76586,-3.89979,14.8849,0.576706,0.8381,0.755517,0.43
4.49557,3.228,19.0625,-0.333316,1.02016,-0.543556,4.75289,-3.9068,14.8985,0.578174,0.838755,0.755756,0.44
4.46375,3.22381,19.0725,-0.33651,1.01333,-0.542127,4.74339,-3.9002,14.9061,0.580241,0.838548,0.750523,0.45
4.45952,3.20783,19.066,-0.33428,1.00747,-0.540226,4.7337,-3.91729,14.9175,0.585629,0.839987,0.754965,0.46
4.45414,3.20378,19.0993,-0.331309,1.01042,-0.539804,4.72394,-3.92775,14.9265,0.58694,0.840929,0.760205,0.47
4.44928,3.20014,19.1293,-0.328634,1.01307,-0.539425,4.71616,-3.91541,14.9307,0.587181,0.840863,0.75739,0.48
4.47227,3.20612,19.0934,-0.326982,1.01387,-0.539628,4.70698,-3.92244,14.9377,0.587393,0.842074,0.765251,0.49
4.46561,3.20227,19.124,-0.32474,1.01618,-0.539269,4.6999,-3.92716,14.9459,0.587794,0.842331,0.764512,0.5
4.48638,3.2018,19.1227,-0.322432,1.02444,-0.538146,4.69028,-3.91797,14.95,0.580135,0.842218,0.769199,0.51
4.47927,3.20844,19.1505,-0.324758,1.02652,-0.541749,4.73565,-3.91721,14.923,0.57433,0.843412,0.771401,0.52
4.50025,3.22362,19.1128,-0.32761,1.0268,-0.545526,4.77974,-3.92996,14.9021,0.577129,0.844833,0.768027,0.53
4.49133,3.2242,19.1074,-0.326348,1.02004,-0.545916,4.76656,-3.94282,14.9133,0.580238,0.84493,0.7691,0.54
4.51104,3.21118,19.0687,-0.324842,1.01969,-0.542838,4.75468,-3.94917,14.9246,0.582297,0.844545,0.765119,0.55
4.50239,3.20029,19.0968,-0.326852,1.0218,-0.543334,4.74491,-3.9448,14.929,0.587283,0.844941,0.765509,0.56
4.52373,3.2112,19.0267,-0.334123,1.0147,-0.544578,4.73404,-3.94729,14.9381,0.587694,0.844912,0.764745,0.57
4.51352,3.19649,19.0248,-0.332133,1.00869,-0.542434,4.77814,-3.93683,14.9098,0.588013,0.846101,0.76231,0.58
4.50391,3.19748,19.0629,-0.330426,1.01117,-0.539023,4.76405,-3.93882,14.9201,0.585761,0.845246,0.760246,0.59
4.52312,3.21518,19.0011,-0.333303,1.00475,-0.539522,4.74916,-3.93208,14.9274,0.57925,0.844485,0.762497,0.6
4.48596,3.21259,19.0562,-0.331413,1.00686,-0.535984,4.73681,-3.93094,14.9353,0.576928,0.844148,0.763279,0.61
4.50711,3.22747,18.9943,-0.331574,1.00015,-0.53511,4.72568,-3.92995,14.9425,0.574834,0.843846,0.763988,0.62
4.52637,3.24596,18.9736,-0.337412,1.00344,-0.538462,4.71461,-3.92408,14.9476,0.569411,0.843226,0.765866,0.63
4.48874,3.24157,19.0321,-0.337735,1.00639,-0.536701,4.70686,-3.9274,14.9541,0.569015,0.84266,0.763455,0.64
