left_hand_wrench.f_x,left_hand_wrench.f_y,left_hand_wrench.f_z,left_hand_wrench.tau_x,left_hand_wrench.tau_y,left_hand_wrench.tau_z,right_hand_wrench.f_x,right_hand_wrench.f_y,right_hand_wrench.f_z,right_hand_wrench.tau_x,right_hand_wrench.tau_y,right_hand_wrench.tau_z,time.t
-1.34146,2.80066,7.34238,0.767974,0.675857,-1.41661,0.123197,-3.97236,6.93228,-0.897973,1.487,0.233854,0.44
-1.35149,2.69865,7.3499,0.807338,0.670034,-1.37654,0.403582,-4.05897,6.31284,-0.889423,1.47063,0.239742,0.45
-1.35133,2.69858,7.34977,0.807351,0.670052,-1.37653,0.123085,-3.97264,6.93212,-0.897981,1.487,0.233893,0.46
-1.34475,2.59358,7.28565,0.779025,0.674248,-1.41645,0.393033,-4.27328,6.34177,-0.886208,1.47719,0.315314,0.47
-1.34251,2.53274,7.30205,0.806588,0.665503,-1.34964,0.123025,-3.97248,6.93227,-0.898005,1.48698,0.233862,0.48
-1.63753,2.60937,7.95377,0.814959,0.686999,-1.37073,-0.154086,-4.12325,7.1216,-0.898663,1.4838,0.255399,0.49
-1.34159,2.80086,7.3423,0.768039,0.675807,-1.41659,0.112918,-4.13819,6.9823,-0.898008,1.49129,0.260302,0.5
-1.34175,2.80089,7.34234,0.768075,0.675791,-1.41658,0.146946,-4.14557,6.4471,-0.849718,1.46992,0.273889,0.51
-1.36441,2.43744,7.27564,0.856139,0.663933,-1.38537,0.113129,-4.13817,6.98225,-0.89797,1.49132,0.260316,0.52
-1.3426,2.53288,7.30204,0.806608,0.665474,-1.34963,0.112819,-4.13818,6.98226,-0.898056,1.49126,0.260283,0.53
-1.35138,2.69869,7.34982,0.807363,0.670028,-1.37652,0.403868,-4.32626,6.35771,-0.849072,1.48172,0.305244,0.54
-1.34251,2.53293,7.302,0.806597,0.665465,-1.34964,0.382251,-4.17168,6.34732,-0.926679,1.47033,0.276265,0.55
-1.33175,2.85516,7.35994,0.730195,0.680289,-1.40761,0.403387,-4.05889,6.313,-0.889488,1.4706,0.23972,0.56
-1.34175,2.80111,7.34245,0.768049,0.675742,-1.4166,0.112782,-4.13814,6.98237,-0.898058,1.49124,0.260286,0.57
-1.34271,2.53336,7.30209,0.806604,0.665363,-1.34966,0.123473,-4.23978,6.9772,-0.857568,1.49812,0.299377,0.58
-1.6191,2.54611,7.89816,0.775007,0.688156,-1.38387,0.112569,-4.18683,6.96127,-0.894778,1.49353,0.309466,0.59
-1.35379,2.76015,7.33326,0.779804,0.678636,-1.44336,0.382384,-4.17176,6.34717,-0.926665,1.47034,0.276289,0.6
-1.35173,2.69932,7.34994,0.807409,0.669877,-1.37654,0.113581,-4.18153,7.3158,-0.868155,1.57615,0.286978,0.61
-1.3514,2.69923,7.34962,0.807372,0.669927,-1.37656,0.112917,-4.13818,6.98222,-0.898043,1.49125,0.260295,0.62
-1.33304,2.63544,7.29448,0.767369,0.671151,-1.38969,0.393429,-4.22456,6.36293,-0.889462,1.47492,0.266152,0.63
-1.62806,2.7121,7.94606,0.775785,0.692661,-1.41077,0.390714,-4.01908,6.30542,-0.900521,1.47352,0.266959,0.64
-1.36441,2.6415,7.68418,0.816303,0.748362,-1.36412,0.126141,-4.20965,6.50242,-0.890187,1.46738,0.261256,0.65
-1.62887,2.44457,7.90575,0.814296,0.682284,-1.34385,0.133633,-4.07422,6.92701,-0.857585,1.49379,0.272963,0.66
-1.35175,2.69991,7.3498,0.807388,0.669764,-1.3766,0.122988,-3.97247,6.93241,-0.898033,1.48695,0.233877,0.67
-1.32303,2.69032,7.31141,0.729502,0.675559,-1.38076,0.394202,-4.26796,6.69617,-0.859562,1.55982,0.292835,0.68
-1.33286,2.58839,7.31929,0.768778,0.66971,-1.34075,-0.154179,-4.12317,7.12175,-0.898706,1.48375,0.255378,0.69
