left_arm_torques.tau_1,left_arm_torques.tau_2,left_arm_torques.tau_3,left_arm_torques.tau_4,left_arm_torques.tau_5,left_arm_torques.tau_6,left_arm_torques.tau_7,right_arm_torques.tau_1,right_arm_torques.tau_2,right_arm_torques.tau_3,right_arm_torques.tau_4,right_arm_torques.tau_5,right_arm_torques.tau_6,right_arm_torques.tau_7,waist_torque.tau_w,time.t
-0.703125,2.63672,-0.894886,-0.878906,0.875,0.25,-0.1875,-0.0878906,-3.42773,-0.335582,0.263672,-0.5625,1.25,-0.75,-0.351562,0.34
-0.703125,2.54883,-0.894886,-0.966797,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.6875,-0.175781,0.35
-0.703125,2.63672,-0.838956,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.46875,0.36
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.234375,0.37
-0.703125,2.63672,-0.838956,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.6875,-0.234375,0.38
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.335582,0.175781,-0.5,1.1875,-0.6875,-0.234375,0.39
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.3125,-0.125,-0.0878906,-3.33984,-0.335582,0.175781,-0.5,1.1875,-0.6875,-0.410156,0.4
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.117188,0.41
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.117188,0.42
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.33984,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.175781,0.43
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.33984,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.644531,0.44
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.335582,0.263672,-0.5,1.1875,-0.75,-0.351562,0.45
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.410156,0.46
-0.703125,2.54883,-0.950817,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.42773,-0.335582,0.263672,-0.5625,1.1875,-0.6875,-0.46875,0.47
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.234375,0.48
-0.703125,2.63672,-0.894886,-0.966797,0.9375,0.25,-0.125,0,-3.42773,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.175781,0.49
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.42773,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.351562,0.5
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.1875,0,-3.33984,-0.335582,0.263672,-0.5,1.1875,-0.6875,-0.117188,0.51
-0.703125,2.54883,-0.950817,-0.878906,1,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.234375,0.52
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.351562,0.53
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.6875,-0.175781,0.54
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.263672,-0.5625,1.1875,-0.75,-0.292969,0.55
-0.703125,2.63672,-0.894886,-0.878906,0.875,0.25,-0.1875,-0.0878906,-3.33984,-0.335582,0.263672,-0.5,1.1875,-0.75,-0.527344,0.56
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.42773,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.527344,0.57
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.175781,-0.5,1.1875,-0.6875,-0.117188,0.58
-0.703125,2.54883,-0.894886,-0.966797,0.9375,0.25,-0.1875,-0.0878906,-3.42773,-0.335582,0.175781,-0.5625,1.1875,-0.6875,-0.410156,0.59
-0.703125,2.63672,-0.950817,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.42773,-0.335582,0.263672,-0.5625,1.1875,-0.75,-0.46875,0.6
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.175781,-0.5,1.25,-0.6875,-0.410156,0.61
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.410156,0.62
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.75,-0.585938,0.63
-0.703125,2.63672,-0.894886,-0.966797,0.9375,0.25,-0.1875,-0.0878906,-3.33984,-0.279652,0.263672,-0.5,1.1875,-0.75,-0.410156,0.64
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.3125,-0.125,0,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.75,-0.46875,0.65
-0.703125,2.54883,-0.894886,-0.966797,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.335582,0.175781,-0.5,1.1875,-0.6875,-0.46875,0.66
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.585938,0.67
-0.703125,2.54883,-0.894886,-0.878906,0.875,0.25,-0.1875,-0.0878906,-3.42773,-0.335582,0.263672,-0.5,1.25,-0.6875,-0.117188,0.68
-0.703125,2.54883,-0.894886,-0.878906,0.875,0.25,-0.125,0,-3.42773,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.46875,0.69
-0.703125,2.63672,-0.950817,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.42773,-0.335582,0.175781,-0.5,1.1875,-0.75,0.234375,0.7
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.46875,0.71
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.75,0.0585938,0.72
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,0,-3.42773,-0.335582,0.263672,-0.5,1.125,-0.6875,-0.351562,0.73
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.33984,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.292969,0.74
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.263672,-0.5625,1.1875,-0.6875,-0.175781,0.75
-0.703125,2.54883,-0.950817,-0.966797,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.263672,-0.5625,1.1875,-0.75,-0.410156,0.76
-0.703125,2.54883,-0.894886,-0.878906,0.875,0.25,-0.125,0,-3.42773,-0.279652,0.175781,-0.5,1.1875,-0.6875,-0.46875,0.77
